[
[7/15, 2/5, 3/5, 4/15, 4/15, 8/15],
[17/30, 7/15, 2/3, 1/6, 1/3, 11/30],
[17/30, 1/2, 7/15, 3/10, 2/15, 17/30],
[17/30, 1/2, 8/15, 3/10, 2/15, 13/30],
[17/30, 1/2, 17/30, 4/15, 1/6, 2/5],
[17/30, 1/2, 3/5, 1/6, 4/15, 13/30],
[17/30, 8/15, 13/30, 4/15, 1/6, 8/15],
[17/30, 8/15, 1/2, 7/30, 2/5, 7/30],
[17/30, 8/15, 1/2, 11/30, 4/15, 1/10],
[17/30, 8/15, 8/15, 1/6, 4/15, 13/30],
[17/30, 17/30, 2/5, 1/3, 1/10, 17/30],
[17/30, 17/30, 2/5, 1/3, 17/30, 1/10],
[17/30, 17/30, 3/5, 2/15, 3/10, 11/30],
[17/30, 17/30, 3/5, 2/15, 11/30, 3/10],
[3/5, 4/15, 17/30, 3/10, 11/30, 13/30],
[3/5, 3/10, 8/15, 11/30, 1/6, 3/5],
[3/5, 3/10, 17/30, 1/3, 2/15, 7/10],
[3/5, 3/10, 2/3, 7/30, 3/10, 7/15],
[3/5, 3/10, 11/15, 1/6, 3/10, 8/15],
[3/5, 13/30, 7/15, 13/30, 1/10, 2/5],
[3/5, 13/30, 1/2, 3/10, 11/30, 4/15],
[3/5, 13/30, 1/2, 13/30, 7/30, 2/15],
[3/5, 13/30, 3/5, 3/10, 7/30, 4/15],
[3/5, 7/15, 13/30, 3/10, 13/30, 7/30],
[3/5, 8/15, 11/30, 11/30, 1/10, 17/30],
[3/5, 8/15, 11/30, 11/30, 17/30, 1/10],
[3/5, 17/30, 1/2, 1/6, 11/30, 4/15],
[3/5, 17/30, 1/2, 3/10, 7/30, 2/15],
[19/30, 4/15, 13/30, 2/5, 3/10, 1/2],
[19/30, 11/30, 8/15, 2/5, 1/10, 13/30],
[19/30, 11/30, 19/30, 3/10, 1/5, 1/3],
[19/30, 13/30, 13/30, 3/10, 2/5, 4/15],
[19/30, 7/15, 11/30, 1/3, 1/6, 8/15],
[19/30, 7/15, 1/2, 7/30, 1/3, 3/10],
[19/30, 7/15, 1/2, 4/15, 1/10, 3/5],
[19/30, 7/15, 1/2, 11/30, 1/5, 1/6],
[19/30, 7/15, 8/15, 1/6, 1/3, 11/30],
[19/30, 7/15, 19/30, 2/15, 7/30, 7/15],
[19/30, 1/2, 7/15, 3/10, 1/15, 19/30],
[19/30, 1/2, 8/15, 3/10, 1/15, 11/30],
[19/30, 1/2, 17/30, 4/15, 1/10, 1/3],
[19/30, 1/2, 2/3, 1/10, 4/15, 13/30],
[19/30, 8/15, 2/5, 3/10, 2/5, 1/6],
[19/30, 8/15, 7/15, 7/30, 1/3, 7/30],
[19/30, 8/15, 1/2, 1/6, 1/3, 3/10],
[19/30, 8/15, 1/2, 4/15, 1/10, 2/5],
[19/30, 8/15, 1/2, 3/10, 1/5, 1/6],
[19/30, 8/15, 8/15, 7/30, 2/15, 11/30],
[2/3, 7/30, 8/15, 11/30, 7/30, 8/15],
[2/3, 7/30, 3/5, 3/10, 3/10, 7/15],
[2/3, 3/10, 7/15, 11/30, 7/30, 1/2],
[2/3, 3/10, 8/15, 11/30, 1/6, 1/2],
[2/3, 11/30, 7/15, 11/30, 1/6, 7/15],
[2/3, 11/30, 7/15, 13/30, 1/6, 1/3],
[2/3, 11/30, 8/15, 11/30, 7/30, 4/15],
[2/3, 11/30, 17/30, 4/15, 4/15, 11/30],
[2/3, 13/30, 7/15, 3/10, 1/10, 3/5],
[2/3, 13/30, 19/30, 2/15, 4/15, 13/30],
[2/3, 17/30, 2/5, 3/10, 3/10, 2/15],
[2/3, 17/30, 13/30, 4/15, 4/15, 1/6],
[7/10, 11/30, 19/30, 1/6, 2/15, 3/5],
[7/10, 2/5, 3/5, 7/30, 1/15, 17/30],
[7/10, 2/5, 2/3, 1/6, 2/15, 1/2],
[7/10, 7/15, 2/5, 3/10, 1/3, 7/30],
[7/10, 7/15, 13/30, 1/3, 1/10, 2/5],
[7/10, 7/15, 1/2, 7/30, 1/15, 19/30],
[7/10, 7/15, 8/15, 7/30, 1/5, 3/10],
[7/10, 7/15, 17/30, 2/15, 1/6, 1/2],
[7/10, 8/15, 2/5, 3/10, 4/15, 1/6],
[7/10, 8/15, 1/2, 1/6, 2/15, 13/30],
[7/10, 8/15, 1/2, 7/30, 1/15, 11/30],
[7/10, 3/5, 2/5, 7/30, 1/15, 13/30],
[7/10, 3/5, 1/2, 2/15, 1/6, 1/3],
[7/10, 19/30, 11/30, 1/6, 2/15, 2/5],
[7/10, 19/30, 2/5, 2/15, 1/6, 11/30],
[11/15, 1/6, 17/30, 1/3, 4/15, 17/30],
[11/15, 1/6, 3/5, 3/10, 3/10, 8/15],
[11/15, 1/5, 23/30, 1/6, 1/10, 23/30],
[11/15, 11/30, 11/30, 1/3, 4/15, 13/30],
[11/15, 11/30, 13/30, 4/15, 1/3, 11/30],
[11/15, 11/30, 17/30, 4/15, 1/15, 17/30],
[11/15, 11/30, 2/3, 1/6, 1/6, 7/15],
[11/15, 2/5, 17/30, 1/6, 1/10, 19/30],
[11/15, 2/5, 19/30, 1/10, 1/6, 17/30],
[11/15, 13/30, 13/30, 1/3, 2/15, 11/30],
[11/15, 13/30, 1/2, 4/15, 1/5, 3/10],
[11/15, 13/30, 3/5, 1/6, 1/10, 1/2],
[11/15, 13/30, 2/3, 1/10, 1/6, 1/2],
[11/15, 17/30, 11/30, 4/15, 1/15, 13/30],
[11/15, 17/30, 1/2, 1/10, 1/6, 2/5],
[11/15, 17/30, 1/2, 2/15, 1/5, 3/10],
[11/15, 17/30, 1/2, 1/6, 1/10, 1/3],
[11/15, 3/5, 13/30, 1/6, 1/10, 11/30],
[23/30, 1/6, 11/15, 1/5, 1/10, 23/30],
[23/30, 1/6, 4/5, 2/15, 1/6, 7/10],
[23/30, 4/15, 13/30, 2/5, 3/10, 2/5],
[23/30, 4/15, 7/15, 11/30, 1/3, 11/30],
[23/30, 3/10, 17/30, 7/30, 2/15, 3/5],
[23/30, 3/10, 19/30, 1/6, 1/5, 8/15],
[23/30, 1/3, 2/3, 1/6, 1/15, 19/30],
[23/30, 1/3, 7/10, 2/15, 1/10, 3/5],
[23/30, 11/30, 8/15, 1/5, 1/10, 19/30],
[23/30, 11/30, 19/30, 1/10, 1/5, 8/15],
[23/30, 7/15, 1/2, 1/6, 1/5, 11/30],
[23/30, 7/15, 1/2, 7/30, 2/15, 3/10],
[23/30, 8/15, 1/2, 1/10, 1/5, 11/30],
[23/30, 8/15, 1/2, 1/6, 2/15, 3/10],
[23/30, 17/30, 3/10, 7/30, 2/15, 2/5],
[23/30, 17/30, 2/5, 2/15, 7/30, 3/10],
[23/30, 2/3, 1/3, 1/6, 1/15, 11/30],
[23/30, 2/3, 2/5, 1/10, 2/15, 3/10],
[4/5, 2/15, 23/30, 1/6, 1/6, 7/10],
[4/5, 1/6, 1/2, 11/30, 11/30, 7/15],
[4/5, 1/6, 8/15, 11/30, 3/10, 1/2],
[4/5, 3/10, 7/15, 3/10, 7/30, 7/15],
[4/5, 3/10, 1/2, 4/15, 4/15, 13/30],
[4/5, 3/10, 17/30, 4/15, 2/15, 1/2],
[4/5, 3/10, 3/5, 7/30, 1/6, 7/15],
[4/5, 3/10, 19/30, 1/5, 1/15, 19/30],
[4/5, 3/10, 7/10, 2/15, 2/15, 17/30],
[4/5, 1/3, 11/30, 11/30, 3/10, 11/30],
[4/5, 1/3, 11/30, 11/30, 11/30, 3/10],
[4/5, 11/30, 7/15, 7/30, 1/6, 1/2],
[4/5, 11/30, 8/15, 7/30, 1/10, 1/2],
[4/5, 8/15, 3/10, 7/30, 1/6, 11/30],
[4/5, 8/15, 11/30, 1/6, 7/30, 3/10],
[4/5, 8/15, 11/30, 7/30, 1/10, 11/30],
[4/5, 8/15, 13/30, 1/6, 1/6, 3/10],
[4/5, 19/30, 3/10, 1/5, 1/15, 11/30],
[4/5, 19/30, 2/5, 1/10, 1/6, 4/15],
[4/5, 11/15, 7/30, 1/6, 7/30, 1/10],
[5/6, 1/5, 4/5, 1/10, 1/15, 23/30],
[5/6, 4/15, 19/30, 1/5, 1/10, 3/5],
[5/6, 4/15, 2/3, 1/6, 2/15, 17/30],
[5/6, 3/10, 8/15, 1/5, 1/6, 17/30],
[5/6, 3/10, 17/30, 1/6, 1/5, 8/15],
[5/6, 7/15, 11/30, 4/15, 1/6, 1/3],
[5/6, 7/15, 2/5, 7/30, 1/5, 3/10],
[5/6, 7/10, 7/30, 1/6, 1/5, 2/15],
[5/6, 4/5, 1/5, 1/10, 1/15, 7/30],
[5/6, 4/5, 7/30, 1/15, 1/10, 1/5],
[13/15, 1/6, 23/30, 2/15, 1/15, 23/30],
[13/15, 1/6, 4/5, 1/10, 1/10, 11/15],
[13/15, 3/10, 1/2, 7/30, 7/30, 7/15],
[13/15, 3/10, 8/15, 7/30, 1/6, 1/2],
[13/15, 17/30, 3/10, 1/5, 2/15, 3/10],
[13/15, 17/30, 1/3, 1/6, 1/6, 4/15],
[13/15, 23/30, 1/6, 2/15, 1/15, 7/30],
[13/15, 23/30, 7/30, 1/15, 2/15, 1/6],
[9/10, 11/15, 1/6, 2/15, 1/10, 1/5],
[9/10, 11/15, 1/5, 1/10, 2/15, 1/6],
[1/2, 17/42, 19/42, 8/21, 4/7, 3/14],
[1/2, 17/42, 25/42, 5/21, 3/7, 5/14],
[11/21, 19/42, 11/21, 5/14, 5/42, 4/7],
[11/21, 19/42, 2/3, 3/14, 11/42, 3/7],
[23/42, 8/21, 1/2, 17/42, 3/7, 3/14],
[23/42, 3/7, 23/42, 8/21, 1/14, 13/21],
[23/42, 3/7, 31/42, 4/21, 11/42, 3/7],
[23/42, 1/2, 19/42, 8/21, 1/14, 5/7],
[23/42, 1/2, 23/42, 8/21, 1/14, 2/7],
[23/42, 1/2, 4/7, 5/14, 2/21, 11/42],
[23/42, 1/2, 31/42, 2/21, 5/14, 3/7],
[23/42, 11/21, 10/21, 5/14, 3/7, 5/42],
[23/42, 11/21, 4/7, 11/42, 1/3, 3/14],
[4/7, 5/14, 1/2, 17/42, 17/42, 5/21],
[4/7, 17/42, 10/21, 17/42, 5/42, 4/7],
[4/7, 17/42, 11/21, 17/42, 1/14, 13/21],
[4/7, 17/42, 2/3, 3/14, 13/42, 8/21],
[4/7, 17/42, 31/42, 4/21, 2/7, 17/42],
[4/7, 23/42, 19/42, 8/21, 8/21, 1/14],
[4/7, 23/42, 4/7, 11/42, 11/42, 4/21],
[25/42, 3/7, 23/42, 5/21, 1/6, 4/7],
[25/42, 3/7, 25/42, 4/21, 3/14, 11/21],
[25/42, 10/21, 3/7, 17/42, 3/7, 5/42],
[25/42, 10/21, 4/7, 11/42, 2/7, 11/42],
[25/42, 11/21, 3/7, 17/42, 8/21, 1/14],
[25/42, 11/21, 4/7, 11/42, 5/21, 3/14],
[25/42, 4/7, 19/42, 5/21, 1/6, 3/7],
[25/42, 4/7, 10/21, 3/14, 4/21, 17/42],
[13/21, 19/42, 1/2, 13/42, 1/14, 5/7],
[13/21, 19/42, 4/7, 3/14, 1/6, 1/2],
[13/21, 23/42, 1/2, 1/6, 3/14, 3/7],
[13/21, 23/42, 1/2, 13/42, 1/14, 2/7],
[9/14, 8/21, 4/7, 11/42, 2/21, 29/42],
[9/14, 8/21, 5/7, 5/42, 5/21, 23/42],
[9/14, 3/7, 25/42, 5/21, 5/42, 1/2],
[9/14, 3/7, 31/42, 2/21, 11/42, 1/2],
[9/14, 4/7, 17/42, 5/21, 5/42, 1/2],
[9/14, 4/7, 1/2, 11/42, 2/21, 11/42],
[9/14, 13/21, 3/7, 11/42, 2/21, 13/42],
[9/14, 13/21, 19/42, 5/21, 5/42, 2/7],
[2/3, 5/14, 10/21, 13/42, 1/6, 4/7],
[2/3, 5/14, 23/42, 2/7, 2/21, 29/42],
[2/3, 5/14, 25/42, 4/21, 2/7, 19/42],
[2/3, 5/14, 5/7, 5/42, 11/42, 11/21],
[29/42, 8/21, 3/7, 17/42, 1/3, 3/14],
[29/42, 8/21, 10/21, 5/14, 2/7, 11/42],
[29/42, 3/7, 25/42, 5/21, 1/14, 10/21],
[29/42, 3/7, 13/21, 3/14, 2/21, 19/42],
[29/42, 10/21, 5/14, 1/3, 1/6, 3/7],
[29/42, 10/21, 10/21, 3/14, 2/7, 13/42],
[29/42, 10/21, 1/2, 1/6, 2/7, 5/14],
[29/42, 10/21, 1/2, 13/42, 1/7, 3/14],
[29/42, 11/21, 5/14, 2/7, 5/42, 1/2],
[29/42, 11/21, 1/2, 11/42, 1/7, 3/14],
[29/42, 4/7, 17/42, 5/21, 1/14, 11/21],
[29/42, 4/7, 23/42, 2/21, 3/14, 8/21],
[5/7, 11/42, 10/21, 17/42, 11/42, 3/7],
[5/7, 11/42, 11/21, 5/14, 13/42, 8/21],
[5/7, 13/42, 10/21, 13/42, 3/14, 11/21],
[5/7, 13/42, 23/42, 5/21, 2/7, 19/42],
[5/7, 5/14, 10/21, 13/42, 1/6, 1/2],
[5/7, 5/14, 11/21, 13/42, 5/42, 1/2],
[5/7, 17/42, 3/7, 17/42, 11/42, 4/21],
[5/7, 17/42, 19/42, 8/21, 5/21, 3/14],
[5/7, 19/42, 5/14, 1/3, 4/21, 17/42],
[5/7, 19/42, 19/42, 5/21, 2/7, 13/42],
[5/7, 23/42, 5/14, 1/3, 2/21, 13/42],
[5/7, 23/42, 8/21, 11/42, 1/14, 11/21],
[5/7, 23/42, 19/42, 5/21, 4/21, 3/14],
[5/7, 23/42, 23/42, 2/21, 5/21, 5/14],
[31/42, 8/21, 23/42, 2/7, 1/14, 10/21],
[31/42, 8/21, 13/21, 3/14, 1/7, 17/42],
[31/42, 11/21, 5/14, 1/3, 5/42, 2/7],
[31/42, 11/21, 3/7, 11/42, 4/21, 3/14],
[16/21, 3/14, 11/21, 17/42, 11/42, 3/7],
[16/21, 3/14, 23/42, 8/21, 2/7, 17/42],
[16/21, 5/14, 23/42, 2/7, 2/21, 19/42],
[16/21, 5/14, 25/42, 5/21, 1/7, 17/42],
[17/21, 3/14, 23/42, 2/7, 5/21, 23/42],
[17/21, 3/14, 4/7, 11/42, 11/42, 11/21],
[5/6, 2/7, 5/7, 5/42, 1/21, 29/42],
[5/6, 2/7, 31/42, 2/21, 1/14, 2/3],
[5/6, 5/7, 2/7, 5/42, 1/21, 13/42],
[5/6, 5/7, 1/3, 1/14, 2/21, 11/42],
[6/7, 3/14, 1/2, 13/42, 13/42, 10/21],
[6/7, 3/14, 11/21, 13/42, 11/42, 1/2],
[6/7, 11/42, 29/42, 1/7, 1/21, 29/42],
[6/7, 11/42, 31/42, 2/21, 2/21, 9/14],
[6/7, 17/42, 8/21, 11/42, 3/14, 8/21],
[6/7, 17/42, 17/42, 5/21, 5/21, 5/14],
[6/7, 29/42, 11/42, 1/7, 1/21, 13/42],
[6/7, 29/42, 1/3, 1/14, 5/42, 5/21],
[37/42, 5/21, 29/42, 1/7, 1/14, 2/3],
[37/42, 5/21, 5/7, 5/42, 2/21, 9/14],
[19/21, 9/14, 11/42, 1/7, 2/21, 11/42],
[19/21, 9/14, 2/7, 5/42, 5/42, 5/21],
[9/20, 9/20, 17/30, 4/15, 17/60, 1/2],
[9/20, 9/20, 17/30, 4/15, 1/2, 17/60],
[7/15, 13/30, 31/60, 19/60, 13/60, 7/12],
[29/60, 9/20, 29/60, 5/12, 1/10, 11/15],
[29/60, 9/20, 23/30, 2/15, 23/60, 9/20],
[1/2, 29/60, 9/20, 9/20, 1/15, 23/30],
[1/2, 29/60, 9/20, 9/20, 23/30, 1/15],
[1/2, 29/60, 4/5, 1/10, 5/12, 5/12],
[8/15, 13/30, 11/20, 17/60, 11/60, 11/20],
[8/15, 13/30, 3/4, 7/60, 7/20, 29/60],
[11/20, 7/20, 13/30, 2/5, 13/60, 7/12],
[11/20, 7/20, 3/5, 7/30, 23/60, 5/12],
[11/20, 5/12, 29/60, 23/60, 1/10, 11/15],
[11/20, 5/12, 3/4, 7/60, 11/30, 7/15],
[11/20, 9/20, 1/2, 17/60, 13/30, 4/15],
[11/20, 9/20, 1/2, 23/60, 1/15, 23/30],
[11/20, 9/20, 1/2, 29/60, 7/30, 1/15],
[11/20, 9/20, 17/30, 4/15, 11/60, 1/2],
[11/20, 29/60, 31/60, 5/12, 4/15, 1/10],
[11/20, 29/60, 11/20, 23/60, 7/30, 2/15],
[11/20, 11/20, 13/30, 4/15, 11/60, 1/2],
[11/20, 11/20, 13/30, 4/15, 1/2, 11/60],
[11/20, 11/20, 1/2, 23/60, 1/15, 7/30],
[11/20, 11/20, 1/2, 23/60, 7/30, 1/15],
[17/30, 2/5, 11/20, 7/20, 1/12, 43/60],
[17/30, 2/5, 37/60, 17/60, 3/20, 31/60],
[17/30, 7/15, 29/60, 19/60, 5/12, 13/60],
[17/30, 7/15, 11/20, 23/60, 13/60, 3/20],
[17/30, 8/15, 9/20, 17/60, 9/20, 11/60],
[17/30, 8/15, 31/60, 7/20, 1/4, 7/60],
[7/12, 11/30, 17/30, 19/60, 1/10, 3/4],
[7/12, 11/30, 23/30, 7/60, 3/10, 11/20],
[7/12, 23/60, 8/15, 11/30, 1/12, 43/60],
[7/12, 23/60, 23/30, 2/15, 19/60, 29/60],
[7/12, 2/5, 17/30, 7/20, 1/15, 41/60],
[7/12, 2/5, 23/30, 3/20, 4/15, 29/60],
[7/12, 5/12, 1/2, 17/60, 2/5, 3/10],
[7/12, 5/12, 1/2, 29/60, 1/5, 1/10],
[7/12, 5/12, 3/5, 3/10, 7/60, 1/2],
[7/12, 5/12, 4/5, 1/10, 19/60, 1/2],
[7/12, 13/30, 3/5, 7/20, 1/15, 23/60],
[7/12, 13/30, 19/30, 19/60, 1/10, 7/20],
[7/12, 17/30, 2/5, 7/20, 1/15, 37/60],
[7/12, 17/30, 13/20, 1/10, 19/60, 11/30],
[7/12, 7/12, 2/5, 3/10, 7/60, 1/2],
[7/12, 7/12, 2/5, 3/10, 1/2, 7/60],
[7/12, 7/12, 1/2, 19/60, 1/10, 1/5],
[7/12, 7/12, 1/2, 19/60, 1/5, 1/10],
[3/5, 3/10, 5/12, 5/12, 17/60, 1/2],
[3/5, 3/10, 5/12, 5/12, 1/2, 17/60],
[3/5, 7/20, 11/20, 1/3, 1/10, 3/4],
[3/5, 7/20, 23/30, 7/60, 19/60, 8/15],
[3/5, 23/60, 11/20, 11/30, 1/15, 41/60],
[3/5, 23/60, 23/30, 3/20, 17/60, 7/15],
[3/5, 13/30, 9/20, 7/20, 5/12, 13/60],
[3/5, 13/30, 31/60, 5/12, 13/60, 3/20],
[3/5, 11/20, 23/60, 11/30, 1/15, 37/60],
[3/5, 11/20, 13/20, 1/10, 1/3, 7/20],
[3/5, 17/30, 23/60, 17/60, 29/60, 3/20],
[3/5, 17/30, 9/20, 7/20, 17/60, 1/12],
[3/5, 7/12, 13/30, 7/20, 19/60, 1/15],
[3/5, 7/12, 31/60, 4/15, 7/30, 3/20],
[37/60, 7/20, 7/15, 11/30, 11/60, 11/20],
[37/60, 7/20, 3/5, 7/30, 19/60, 5/12],
[37/60, 5/12, 9/20, 7/20, 2/5, 7/30],
[37/60, 5/12, 29/60, 19/60, 11/30, 4/15],
[37/60, 9/20, 5/12, 7/20, 2/15, 17/30],
[37/60, 9/20, 3/5, 1/6, 19/60, 23/60],
[37/60, 29/60, 9/20, 5/12, 4/15, 1/10],
[37/60, 29/60, 31/60, 7/20, 1/5, 1/6],
[19/30, 4/15, 31/60, 19/60, 23/60, 5/12],
[19/30, 23/60, 11/20, 2/5, 1/15, 23/60],
[19/30, 23/60, 19/30, 19/60, 3/20, 3/10],
[19/30, 7/15, 7/20, 7/20, 11/60, 1/2],
[19/30, 7/15, 7/20, 7/20, 1/2, 11/60],
[19/30, 7/15, 23/60, 7/20, 9/20, 11/60],
[19/30, 7/15, 9/20, 5/12, 1/4, 7/60],
[19/30, 7/15, 1/2, 23/60, 3/20, 3/20],
[19/30, 8/15, 7/20, 19/60, 29/60, 3/20],
[19/30, 8/15, 7/20, 7/20, 7/60, 1/2],
[19/30, 8/15, 7/20, 7/20, 1/2, 7/60],
[19/30, 8/15, 5/12, 23/60, 17/60, 1/12],
[19/30, 8/15, 1/2, 19/60, 3/20, 3/20],
[19/30, 11/20, 2/5, 23/60, 19/60, 1/15],
[19/30, 11/20, 31/60, 4/15, 1/5, 11/60],
[19/30, 7/12, 13/30, 19/60, 1/4, 1/10],
[19/30, 7/12, 9/20, 3/10, 7/30, 7/60],
[13/20, 19/60, 8/15, 11/30, 3/20, 31/60],
[13/20, 19/60, 19/30, 4/15, 1/12, 3/4],
[13/20, 19/60, 19/30, 4/15, 1/4, 5/12],
[13/20, 19/60, 47/60, 7/60, 7/30, 3/5],
[13/20, 7/20, 7/15, 11/30, 11/60, 1/2],
[13/20, 7/20, 8/15, 11/30, 7/60, 1/2],
[13/20, 5/12, 9/20, 23/60, 2/15, 13/30],
[13/20, 5/12, 17/30, 4/15, 1/4, 19/60],
[13/20, 29/60, 9/20, 19/60, 1/15, 19/30],
[13/20, 29/60, 2/3, 1/10, 17/60, 5/12],
[2/3, 3/10, 11/20, 17/60, 19/60, 5/12],
[2/3, 3/10, 37/60, 17/60, 1/12, 3/4],
[2/3, 3/10, 37/60, 17/60, 1/4, 5/12],
[2/3, 3/10, 47/60, 7/60, 1/4, 7/12],
[2/3, 7/20, 11/20, 2/5, 1/10, 7/20],
[2/3, 7/20, 3/5, 7/20, 3/20, 3/10],
[2/3, 11/20, 2/5, 7/20, 1/4, 1/10],
[2/3, 11/20, 9/20, 3/10, 1/5, 3/20],
[41/60, 23/60, 9/20, 23/60, 1/6, 2/5],
[41/60, 23/60, 8/15, 3/10, 1/4, 19/60],
[41/60, 5/12, 23/60, 7/20, 2/5, 7/30],
[41/60, 5/12, 9/20, 17/60, 1/3, 3/10],
[41/60, 9/20, 29/60, 7/20, 1/15, 11/30],
[41/60, 9/20, 17/30, 4/15, 3/20, 17/60],
[41/60, 29/60, 5/12, 23/60, 7/30, 2/15],
[41/60, 29/60, 9/20, 7/20, 1/5, 1/6],
[41/60, 8/15, 2/5, 7/20, 7/30, 7/60],
[41/60, 8/15, 13/30, 19/60, 1/5, 3/20],
[41/60, 13/20, 11/30, 4/15, 1/4, 1/12],
[41/60, 13/20, 2/5, 7/30, 13/60, 7/60],
[7/10, 7/20, 19/30, 11/60, 7/60, 19/30],
[7/10, 7/20, 2/3, 3/20, 3/20, 3/5],
[7/10, 7/15, 31/60, 11/60, 7/60, 11/20],
[7/10, 7/15, 13/20, 1/12, 13/60, 29/60],
[7/10, 8/15, 29/60, 11/60, 7/60, 9/20],
[7/10, 8/15, 31/60, 13/60, 1/12, 7/20],
[7/10, 13/20, 11/30, 11/60, 7/60, 11/30],
[7/10, 13/20, 2/5, 3/20, 3/20, 1/3],
[43/60, 1/4, 43/60, 11/60, 1/10, 11/15],
[43/60, 1/4, 23/30, 2/15, 3/20, 41/60],
[43/60, 2/5, 7/12, 1/6, 7/60, 3/5],
[43/60, 2/5, 37/60, 2/15, 3/20, 17/30],
[43/60, 5/12, 29/60, 7/20, 1/10, 1/3],
[43/60, 5/12, 8/15, 3/10, 3/20, 17/60],
[43/60, 13/30, 17/30, 11/60, 1/10, 11/20],
[43/60, 13/30, 3/5, 3/20, 2/15, 31/60],
[43/60, 9/20, 29/60, 1/4, 1/15, 19/30],
[43/60, 9/20, 13/20, 1/12, 7/30, 7/15],
[43/60, 7/15, 2/5, 23/60, 7/30, 3/20],
[43/60, 7/15, 13/30, 7/20, 1/5, 11/60],
[43/60, 17/30, 13/30, 11/60, 1/10, 9/20],
[43/60, 17/30, 29/60, 2/15, 3/20, 2/5],
[43/60, 3/5, 5/12, 1/6, 7/60, 2/5],
[43/60, 3/5, 13/30, 3/20, 2/15, 23/60],
[43/60, 37/60, 1/3, 3/10, 1/4, 1/12],
[43/60, 37/60, 2/5, 7/30, 11/60, 3/20],
[11/15, 13/30, 11/20, 13/60, 1/20, 37/60],
[11/15, 13/30, 7/12, 11/60, 1/12, 31/60],
[11/15, 17/30, 5/12, 11/60, 1/12, 29/60],
[11/15, 17/30, 9/20, 13/60, 1/20, 23/60],
[3/4, 13/60, 41/60, 13/60, 1/10, 11/15],
[3/4, 13/60, 23/30, 2/15, 11/60, 13/20],
[3/4, 3/10, 7/12, 7/30, 7/60, 19/30],
[3/4, 3/10, 2/3, 3/20, 1/5, 11/20],
[3/4, 19/60, 5/12, 7/20, 4/15, 13/30],
[3/4, 19/60, 7/15, 3/10, 19/60, 23/60],
[3/4, 5/12, 7/20, 19/60, 11/30, 4/15],
[3/4, 5/12, 23/60, 17/60, 1/3, 3/10],
[3/4, 5/12, 7/15, 7/30, 7/60, 11/20],
[3/4, 5/12, 8/15, 7/30, 1/20, 37/60],
[3/4, 5/12, 17/30, 2/15, 13/60, 9/20],
[3/4, 5/12, 2/3, 1/10, 11/60, 29/60],
[3/4, 29/60, 9/20, 17/60, 1/15, 11/30],
[3/4, 29/60, 31/60, 13/60, 2/15, 3/10],
[3/4, 7/12, 1/3, 3/10, 13/60, 7/60],
[3/4, 7/12, 11/30, 4/15, 11/60, 3/20],
[3/4, 43/60, 17/60, 11/60, 4/15, 1/10],
[3/4, 43/60, 19/60, 3/20, 7/30, 2/15],
[23/30, 7/20, 8/15, 13/60, 7/60, 3/5],
[23/30, 7/20, 37/60, 2/15, 1/5, 31/60],
[23/30, 23/60, 31/60, 7/30, 1/10, 11/20],
[23/30, 23/60, 3/5, 3/20, 11/60, 7/15],
[23/30, 7/15, 5/12, 1/4, 7/60, 9/20],
